"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
2,59,135,"0761339434",false,17.99,"USD",0,0,0,87,4.9,"https://www.amazon.com/dp/0761339434","426.30",false,false,false,false,"The Book Itch: Freedom, Truth & Harlem's Greatest Bookstore","https://m.media-amazon.com/images/I/91CY9cY-KpS._AC_UL320_.jpg"
2,60,136,"B09TVXX3X9",false,6.99,"USD",0,0,0,869,4.6,"https://www.amazon.com/dp/B09TVXX3X9","3997.40",false,false,false,false,"Last One To Know","https://m.media-amazon.com/images/I/91NOqAGxH-L._AC_UL320_.jpg"
3,9,137,"0525574395",false,20,"USD",0,0,0,230,4.8,"https://www.amazon.com/dp/0525574395","1104.00",false,false,false,false,"World's Greatest Bookstores: 100 Postcards Celebrating the Most Beloved Bookshops","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/81PY0oMHuUL._AC_UL320_.jpg"
3,10,138,"0807554227",false,7.99,"USD",0,0,0,36,4.6,"https://www.amazon.com/dp/0807554227","165.60",false,false,false,false,"The Mystery Bookstore (48) (The Boxcar Children Mysteries)","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/71aICwAC+dL._AC_UL320_.jpg"
3,11,139,"B088VWGQ2G",false,0,"USD",0,0,0,264,4.4,"https://www.amazon.com/dp/B088VWGQ2G","1161.60",false,false,false,false,"Death by French Roast (A Bookstore Cafe Mystery Book 8)","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/81cPzOFCQ5L._AC_UL320_.jpg"
3,13,140,"0062879928",true,18.49,"USD",32.5,14.01,43.11,435,4.4,"https://www.amazon.com/dp/0062879928","1914.00",false,false,true,false,"The Mosquito Bowl: A Game of Life and Death in World War II","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/71mrPrRGhkL._AC_UL320_.jpg"
3,14,141,"1468308939",true,11.79,"USD",12.99,1.2,9.24,406,4.4,"https://www.amazon.com/dp/1468308939","1786.40",false,false,false,false,"Weird Things Customers Say in Bookstores","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/81Dn-FfpVSL._AC_UL320_.jpg"
3,15,142,"B09TVXX3X9",false,6.99,"USD",0,0,0,869,4.6,"https://www.amazon.com/dp/B09TVXX3X9","3997.40",false,false,false,false,"Last One To Know","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/91NOqAGxH-L._AC_UL320_.jpg"
3,17,144,"B09JCB8TVP",false,49.99,"USD",0,0,0,148,4.5,"https://www.amazon.com/dp/B09JCB8TVP","666.00",false,false,false,false,"Sponsored Ad - aboxoo Metal Kids Bookshelf Freestanding for Children Room 25 inches Toddler Bookcase Toy Organizer White S...","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/714n+KGqLvL._AC_UL320_.jpg"
3,18,145,"B09S69W17Y",false,14.99,"USD",0,0,0,12,4.9,"https://www.amazon.com/dp/B09S69W17Y","58.80",false,false,false,false,"Sponsored Ad - TSOTMO Book Gift Bookworm Gift Quote Literature Gift for Fans Bookish Zipper Pouch Literary Couples Gift","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/715GPhrDZNL._AC_UL320_.jpg"
3,19,146,"1496732049",true,11.98,"USD",16.95,4.97,29.32,16325,4.3,"https://www.amazon.com/dp/1496732049","70197.50",false,false,false,false,"The Second Mrs. Astor: A Heartbreaking Historical Novel of the Titanic","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/81xa3jP30gL._AC_UL320_.jpg"
3,20,147,"1949042251",false,10.99,"USD",0,0,0,426,4.1,"https://www.amazon.com/dp/1949042251","1746.60",false,false,false,false,"Sponsored Ad - The Man Who Corrupted Heaven","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/61ldY8tUPhL._AC_UL320_.jpg"
3,22,149,"B087ZMTBRX",true,12.99,"USD",16.99,4,23.54,14397,4.5,"https://www.amazon.com/dp/B087ZMTBRX","64786.50",false,false,false,false,"The Last Bookshop in London: A Novel of World War II","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/819f+VWzRJL._AC_UL320_.jpg"
3,23,150,"1496736656",false,8.99,"USD",0,0,0,38,4.5,"https://www.amazon.com/dp/1496736656","171.00",false,false,false,false,"Death by Spiced Chai (A Bookstore Cafe Mystery)","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/71vl5cN4QHL._AC_UL320_.jpg"
3,24,151,"B006IY9FEY",true,13.49,"USD",16.99,3.5,20.6,3191,4.5,"https://www.amazon.com/dp/B006IY9FEY","14359.50",false,false,false,false,"The Devil's Star: A Novel (Harry Hole Book 5)","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/81Lt-fGgocL._AC_UL320_.jpg"
